mol_id,smiles,homo,split
gdb_83576,OC1C2CC=CC1OC2,-0.2442,train
gdb_25340,N=c1cc(C=O)cco1,-0.2318,train
gdb_96154,CC1CCCC2OC2C1,-0.254,train
gdb_104374,COC1(C)CCCC1=O,-0.2254,train
gdb_101021,CCC(O)C1(CC)CC1,-0.2604,train
gdb_13219,OCC(O)C1CCC1,-0.2536,train
gdb_16414,CC1C=CC2CC1O2,-0.2337,train
gdb_52478,CC#CC#CC(O)C=O,-0.2402,train
gdb_115531,C#CC1(O)CCC1CC,-0.2536,train
gdb_50696,O=CC1CCCN2CC12,-0.2248,train
gdb_57090,N#CC(O)C1COC=N1,-0.2673,train
gdb_19475,OCC1C2C=CC1O2,-0.2346,train
gdb_25318,C#Cc1[nH]ccc1C=O,-0.2239,train
gdb_116355,CCC1COCC=C1C,-0.2322,train
gdb_72533,OC12C=CC(CC1)CC2,-0.2412,train
gdb_1716,O=CC1(O)COC1,-0.2607,train
gdb_14267,C1=CC2CC(CC1)O2,-0.2369,train
gdb_110300,CN1C2C(O)C(CO)C21,-0.2312,train
gdb_30487,CN=c1cc(C)nc[nH]1,-0.2056,train
gdb_76435,N#CCC1(O)C(O)C1O,-0.2668,train
gdb_43020,O=C1N2CC2CC2CN12,-0.2454,train
gdb_65364,N#CC1(N)CC1C1CN1,-0.2453,train
gdb_108238,COC12CCC1(O)C2C,-0.2195,train
gdb_34075,N#CC12CC3C(O1)C3O2,-0.2684,train
gdb_113709,COC1CC1C(C)(C)O,-0.2371,train
gdb_64473,CC1(O)C=CCOCC1,-0.2449,train
gdb_116550,CCN=C(C=O)NC=N,-0.2366,train
gdb_100994,CC1(C(O)CO)COC1,-0.2502,train
gdb_83901,CC1N2CCCC12C#N,-0.2471,train
gdb_8018,CC12CCN1C(=O)C2,-0.2376,train
gdb_14536,CC1(C#N)C2CCN21,-0.2546,train
gdb_1785,CC1CC1(O)CO,-0.2518,train
gdb_111505,COC1C(O)CC2CC21,-0.2515,train
gdb_122629,CCCCC1CCC1O,-0.2518,train
gdb_45265,O=C1NC2CN3CC3C12,-0.2262,train
gdb_52875,CC#CC1(C(C)O)CO1,-0.2501,train
gdb_80021,CN1C2C=CC1C2(C)C,-0.1906,train
gdb_78479,CC1C2C3CCCC3C12,-0.2366,train
gdb_50815,N=COC(=O)C(=O)C=O,-0.2657,train
gdb_100021,CCC(C)(O)C1(C)CO1,-0.258,train
gdb_38980,C1CC23NC2CC3CO1,-0.2484,train
gdb_38293,C1C2OC1C1C3OC1C23,-0.2354,train
gdb_50880,C#CCOC(=N)NC=O,-0.2544,train
gdb_27206,Oc1[nH]cc2c1C=CC2,-0.1712,train
gdb_91831,CC1CC2CC2(C#N)N1,-0.2308,train
gdb_8863,CCN(C)C(=O)C#N,-0.2675,train
gdb_76987,CC1C(C=O)C2CC12O,-0.2383,train
gdb_128115,CNc1nnoc1CN,-0.2498,train
gdb_88960,CC1CC1CC1(O)CC1,-0.2496,train
gdb_19624,C1C2C3C(N13)C21CN1,-0.2332,train
gdb_132183,O=c1nc(F)occ1F,-0.2797,train
gdb_103909,COC1(C)CC1OC=N,-0.2486,train
gdb_102822,CCC(OC=O)C1CO1,-0.2742,train
gdb_133236,Cn1ncc(=N)c(F)n1,-0.2228,train
gdb_14002,N#CC1CC12CCO2,-0.2505,train
gdb_7093,C#CCC(=O)CCC,-0.247,train
gdb_91818,CC12C=CC(O)CC1N2,-0.2377,train
gdb_133385,Nc1noc(=O)cc1F,-0.2465,train
gdb_57134,CC(C#CC#N)C1CN1,-0.2591,train
gdb_57057,CC1CCC1C(N)C#N,-0.2667,train
gdb_12607,CN1C(=N)NCC1=O,-0.2415,train
gdb_9156,C#CC#CC(=O)NC,-0.255,train
gdb_104473,CNC1(C=O)C(O)C1O,-0.214,train
gdb_21039,Cn1nc(N)c(O)n1,-0.1953,train
gdb_116008,CCC1CCN=C1OC,-0.2426,train
gdb_129659,Nc1[nH]nc(C=O)c1N,-0.2102,train
gdb_119231,CCCC1(C=O)OC1C,-0.2526,train
gdb_38314,C1CC2C3CC(C3)C2C1,-0.2889,train
gdb_25774,CC(=O)c1nc(N)co1,-0.2186,train
gdb_46707,O=C1OCC2C3CN1C23,-0.2484,train
gdb_34186,C#CC12CC3C=CC1C32,-0.2189,train
gdb_24359,c1occ2c1COCO2,-0.2123,train
gdb_7689,CC1(O)C2CC(O)C21,-0.2391,train
gdb_123885,C1CN(c2nnon2)C1,-0.2391,train
gdb_92018,CC1CC2OC2C2CC12,-0.2524,train
gdb_1187,CC(C)(CO)CO,-0.2604,train
gdb_60682,CC(C=O)(C=O)C1CC1,-0.2492,train
gdb_90404,CC1CC2C(C)(C)C12C,-0.237,train
gdb_107042,COC12C=CC(O)C1C2,-0.2321,train
gdb_16534,OC1C(O)C2CCC12,-0.247,train
gdb_60578,CC1OC1C(O)C1CO1,-0.2599,train
gdb_3518,C1CC(C2CO2)C1,-0.2603,train
gdb_29117,N=c1occ(O)oc1=O,-0.2282,train
gdb_66125,N#CC1(O)CCN2CC21,-0.2505,train
gdb_12755,C#CC1CC2CC12O,-0.2465,train
gdb_24098,N#CCCc1cocn1,-0.2587,train
gdb_78353,CC1C2C(C)C3(CC3)C12,-0.2374,train
gdb_52937,CC#CC12CC(O1)C2O,-0.2413,train
gdb_103363,COC1(C)C2C=CC1O2,-0.2314,train
gdb_48753,O=CC12CCC=CC1N2,-0.2341,train
gdb_71052,CC12CN=C3CC1(C)N32,-0.2312,train
gdb_36704,N#CCOC1CN2CC12,-0.2483,train
gdb_50301,N=C1C2OC2CN1C=O,-0.256,train
gdb_69387,CC12CC1N(C=N)C2=O,-0.2394,train
gdb_101777,CCC(C)CCC(N)=O,-0.2431,train
gdb_13275,CCCN=C1CCO1,-0.2463,train
gdb_12652,CC1COC(=O)C1=O,-0.2541,train
gdb_46599,O=C1OCC23CCC12C3,-0.2472,train
gdb_90374,CC1OC2C(=O)CC12O,-0.2364,train
gdb_64123,CC1(O)COC(C)(C)C1,-0.2376,train
gdb_98396,N=CN(C=N)C(=O)CO,-0.2654,train
gdb_132661,Nc1ncc(F)nc1N,-0.2074,train
gdb_114576,CNC1CN2CC12C#N,-0.2349,train
gdb_42079,C1=NCC2(CCOC2)O1,-0.2514,train
gdb_132038,O=c1cc[nH]c(F)c1O,-0.2103,train
gdb_30848,CNc1oc(N)nc1N,-0.1739,train
gdb_93868,OC1CCC(O)C12CO2,-0.2486,train
gdb_85716,C#CC1CN(C)C1C#C,-0.2244,train
gdb_65655,CC1(CC2CCO2)CO1,-0.2494,train
gdb_91993,C#CC1C(O)CC2NC21,-0.242,train
gdb_121596,CC[NH2+]CC(=O)C(=O)[O-],-0.1965,train
gdb_64848,C#CC1CC(C)(C#N)N1,-0.2593,train
gdb_66905,OC12C3C=CC1C2C=C3,-0.2231,train
gdb_72090,CC12CC3COC1C2C3,-0.2152,train
gdb_114005,CCC1OC1CCC=O,-0.2507,train
gdb_111026,C#CC12CC(C1)C2OC,-0.2509,train
gdb_91170,CC1CC2C=CC1C=C2,-0.2266,train
gdb_34232,C#CC12OC3CC1CC32,-0.2402,train
gdb_115445,CCC1CC(C=O)CO1,-0.246,train
gdb_1559,CCCN(C)C=O,-0.2392,train
gdb_85463,C#CC1CC(=O)CC1C,-0.2386,train
gdb_37706,C1C2CN3C1C1C(O2)C13,-0.2006,train
gdb_117544,C#CC(OCC)C(C)C,-0.2601,train
gdb_78287,CC1C2C1C1(C)CC21C,-0.1968,train
gdb_60548,CC1(C(O)C2CO2)CC1,-0.261,train
gdb_38413,C1=NCC2(CC3NC32)O1,-0.2387,train
gdb_18812,N=C1OC2C3NC1C32,-0.2297,train
gdb_3185,CC1(C2CC2)CO1,-0.2626,train
gdb_55039,NC(=O)N1CC1C1CC1,-0.2415,train
gdb_40183,C1C2CC3(CC3)COC12,-0.2238,train
gdb_76500,CC1C(C)C12OC1CC12,-0.2214,train
gdb_5515,CN=c1occn1C,-0.1823,train
gdb_16312,CCC12CC1OC2=N,-0.2581,train
gdb_118923,CCCC1(O)COC1=N,-0.2666,train
gdb_75651,CC12CC(C1)C(=O)C2O,-0.2358,train
gdb_44192,N#CC1OC2C(=O)NC12,-0.2679,train
gdb_31777,Cn1c(N)ccc1CO,-0.1808,train
gdb_42462,C#CCCC(=O)CC#N,-0.2697,train
gdb_33734,N#CC12CC(C1)C1CC12,-0.2742,train
gdb_15103,C#CCC#CC1CC1,-0.2358,train
gdb_112373,CCN1CC(=N)NC1=O,-0.2402,train
gdb_44178,N#CC1CC2C(=O)CC12,-0.258,train
gdb_104307,CCC1(C)OCC2NC21,-0.2357,train
gdb_114042,CCC1OC2(C)C(C)C12,-0.2265,train
gdb_90770,CC1OC2C(O)CCC12,-0.2423,train
gdb_40331,C1NC1C12C3C4C(C31)N42,-0.2115,train
gdb_53648,CC#CCCC(C)C#N,-0.2527,train
gdb_130748,O=C1OCc2cn[nH]c21,-0.2704,train
gdb_121367,COCC1CCOC1C,-0.2396,train
gdb_100884,CCC(O)C(C#N)CC,-0.2804,train
gdb_88677,CC1CC1C1CC1(C)C,-0.2367,train
gdb_76663,CC(=O)CC1C(C)C1O,-0.2293,train
gdb_46480,O=C1NCC2(CO2)C1=O,-0.2413,train
gdb_79242,CC1C2C3CC1(O)C32C,-0.228,train
gdb_99725,CNC(C(C)=O)C(N)=O,-0.2304,train
gdb_76460,CC1C(O)C1(C=O)C=O,-0.2454,train
gdb_90399,CC1(C)C2CC(O)C21C,-0.2412,train
gdb_102026,CCN(C=N)C(=O)CO,-0.2596,train
gdb_38710,C1=CC2CC3(C1)CC3O2,-0.2325,train
gdb_7754,CC1C=CNC(=O)C1,-0.217,train
gdb_11887,O=C1COC2(CC2)C1,-0.2434,train
gdb_82131,CC1C(NC=O)C2CN12,-0.2402,train
gdb_28212,Cc1nc2c(o1)CCC2,-0.2133,train
gdb_101281,CCC(O)C1OC1C#N,-0.285,train
gdb_24778,O=c1ccn2c(c1)CC2,-0.2069,train
gdb_46256,O=C1CCC12CC1CN12,-0.2357,train
gdb_96420,C#CC1CCOCC1O,-0.2421,train
gdb_133516,N=CNC(=N)C(F)(F)F,-0.264,train
gdb_132105,Cc1cnc(=O)oc1F,-0.2567,train
gdb_25907,CC(=O)n1ccc(C)c1,-0.218,train
gdb_66812,OC12C3C4C5C3N5C1C42,-0.2386,train
gdb_97252,CN=C1C=CNCCO1,-0.1932,train
gdb_84375,CC1C=CC(O)C1(C)C,-0.2415,train
gdb_108176,OCC12OC=NC1C2O,-0.2459,train
gdb_41008,C1CC23C1OC1C2NC13,-0.2343,train
gdb_33355,N#CC#CC1COC=N1,-0.2806,train
gdb_1655,NC(=O)C(=O)CO,-0.2429,train
gdb_16142,O=CC12COCC1C2,-0.2507,train
gdb_34566,N#CC1=CC2OCC1O2,-0.2696,train
gdb_74600,CC1=CC2C3C4C1N2C34,-0.2117,train
gdb_36074,C#CCC12C3CC1N2C3,-0.236,train
gdb_132988,Cn1cccc(F)c1=O,-0.2137,train
gdb_64107,CC1(O)COC(=O)OC1,-0.285,train
gdb_48185,N#CCCNC(=O)C=O,-0.2684,train
gdb_41246,C1OC23CC4C(CC42)C13,-0.2378,train
gdb_113225,CCN1CC1(C)C1CO1,-0.2279,train
gdb_116169,COC1CCCC(C)C1,-0.2437,train
gdb_70449,OC12CC1CC2C1CC1,-0.2281,train
gdb_42075,C1#CCCCCC=CC1,-0.2288,train
gdb_81366,CC1C=CC2OC1C2O,-0.2364,train
gdb_36172,N#CCC12CC3C1CN32,-0.2449,train
gdb_79553,C#CC12OC1C1C2N1C,-0.2339,train
gdb_71985,C#CC12CN3CC1(O)C32,-0.2232,train
gdb_116013,COC1CCC=C1CO,-0.2362,train
gdb_30041,Cc1cccn(C)c1=O,-0.2057,train
gdb_82885,CC12C3CC1C(O3)C2O,-0.2312,train
gdb_62060,N#CC(O)CCN1CC1,-0.245,train
gdb_83538,CC1C2COC1C2(C)O,-0.2393,train
gdb_19608,O=C1C2C(O)C3C1C23,-0.2362,train
gdb_19221,N#CC1C(=O)C2CN12,-0.2727,train
gdb_106835,COC12CCC1(CO)C2,-0.2449,train
gdb_60054,CC(O)CC1(O)CC1C,-0.2419,train
gdb_29984,Cn1ccc2ocnc21,-0.1993,train
gdb_58886,CC(O)C12C=CCC1N2,-0.2233,train
gdb_100018,CCC(C)(C)C1(O)CC1,-0.2527,train
gdb_39988,C1CC12OC1C3OC1C32,-0.2352,train
gdb_39083,C1=CC23COC(C2)C3C1,-0.2331,train
gdb_61382,CC(C=O)NC(=N)C=O,-0.2406,train
gdb_121190,CCOC1COC1C#N,-0.2752,train
gdb_18500,O=CCC1CC2NC12,-0.2373,train
gdb_125647,Cc1n[nH]c2c1COC2,-0.2263,train
gdb_50021,O=CC1CC12NCC2=O,-0.2426,train
gdb_116534,CCN=C(N)N(C)C=O,-0.2351,train
gdb_63567,CC1(C)OC12COC2=O,-0.2713,train
gdb_35700,N#CC1OCC12CCN2,-0.2465,train
gdb_124575,CC(C)Cc1nnon1,-0.3112,train
gdb_120625,CCC1(C)NC1COC,-0.2399,train
gdb_57742,C#CC#CC#CC(C)C,-0.2306,train
gdb_41130,C1=CC23OCC24CC3C14,-0.2178,train
gdb_18387,C1=NCC2OC2CO1,-0.2472,train
gdb_8093,CC12CC(=O)C1C2O,-0.2369,train
gdb_108797,CC1C=C(CO)NC1=O,-0.218,train
gdb_7540,CC1CC1(O)CCO,-0.2503,train
gdb_119712,CCOC12CNC1C2O,-0.2244,train
gdb_127585,Cc1c(C=O)cnn1C,-0.2425,train
gdb_28462,Cc1cnc(N)cc1O,-0.2051,train
gdb_5571,CCc1ccoc1N,-0.209,train
gdb_55196,CC(=O)N1CC=C(C)C1,-0.2271,train
gdb_111788,CCC1C2COC1C2O,-0.2299,train
gdb_3776,CN=c1[nH]nn[nH]1,-0.2152,train
gdb_132291,Cc1nc(F)nc(=O)o1,-0.301,train
gdb_8434,CC1(C)OC2CC21O,-0.2268,train
gdb_84493,CC1C(O)C=CC12CN2,-0.2375,train
gdb_93610,CC1CNC(C#N)C1=O,-0.2474,train
gdb_51062,O=COC12C3C4C1N4C32,-0.2326,train
gdb_43973,O=C1NC23C=CCC12C3,-0.2426,train
gdb_108235,CN1C2(C)CCC12CO,-0.2421,train
gdb_3066,COC=NC1CC1,-0.228,train
gdb_37748,C1OC2C3N4CC3(O1)C24,-0.2492,train
gdb_16580,CC1C(=O)C2C1N2C,-0.2261,train
gdb_110540,OCC1C2OC3C1C23O,-0.2353,train
gdb_27816,Cc1nc(C)[nH]c(=O)n1,-0.2559,train
gdb_108252,CCC12CCC1(C)CO2,-0.2351,train
gdb_126722,CCn1cc(N)c(O)n1,-0.1844,train
gdb_47350,C#CC1COCC(=N)N1,-0.2337,train
gdb_66593,OC12C3COC4C3C1C42,-0.237,train
gdb_44908,O=C1CC2CC1N=CO2,-0.2415,train
gdb_120272,COCC1C(O)C2CN12,-0.2365,train
gdb_98573,COC(=O)C1=CNCC1,-0.2003,train
gdb_68431,C#CC1CC2CC1(O)C2,-0.2503,train
gdb_108639,CC1=C(CO)C2CC2C1,-0.2076,train
gdb_81695,CC1C2CC=CCC1C2,-0.2337,train
gdb_75755,C#CC1(C)CC(=O)C1O,-0.2489,train
gdb_59882,CC(C)NC(=O)C1CO1,-0.2455,train
gdb_37488,C1=C2C3CC4C2N(C1)C34,-0.2004,train
gdb_28284,Nc1cc2n(c1)C1CC21,-0.1767,train
gdb_97657,CC1OC1(C)C#CCO,-0.2458,train
gdb_73358,CC12CCC3C1N3CC2,-0.2193,train
gdb_131894,Nc1[nH]ccc1[N+](=O)[O-],-0.2084,train
gdb_87049,CC1NC1(C#N)C1CN1,-0.2664,train
gdb_99989,CCC(C)(O)C(N)C#N,-0.264,train
gdb_27230,Nc1ncn2c1CC=C2,-0.1801,train
gdb_92913,CC1C=CC(O)C=CC1,-0.2424,train
gdb_107667,CCC12COCCN1C2,-0.2177,train
gdb_74440,CC1=CC2(C)CCC1O2,-0.2308,train
gdb_75110,CC1=CCC(=O)NC=C1,-0.2125,train
gdb_51916,C#CCCN=CNC=O,-0.2496,train
gdb_53338,CC#CC1CC2OC2C1,-0.2414,train
gdb_65668,CC1(OC=O)C2CC1C2,-0.2708,train
gdb_30033,OC1C=Cc2cocc21,-0.2181,train
gdb_49043,N=C1NC2COC12C=O,-0.2462,train
gdb_69461,O=CC1CCC2(O)CC12,-0.2429,train
gdb_97299,CN=CN1C=NCC1=N,-0.2317,train
gdb_69964,CC12CCN1C1CC12O,-0.209,train
gdb_38852,C1OC2CC3OC3C1O2,-0.256,train
gdb_25571,O=CCNc1cnco1,-0.2132,train
gdb_42965,O=C1N2CCC2C2CN12,-0.2439,train
gdb_38203,C1=NC23CC(C2)OC3O1,-0.2549,train
gdb_104514,CN1CC1(CO)CC#N,-0.2365,train
gdb_116134,CC1=CC(CO)OCC1,-0.2384,train
gdb_70610,CC12CC1CCC21CO1,-0.2527,train
gdb_86560,OC1CC(C2COC2)C1,-0.2448,train
gdb_29381,N#CCc1cc(N)c[nH]1,-0.1862,train
gdb_17451,CC1C2N1C1CC12C,-0.2139,train
gdb_55424,N=C1OCCC1C(N)=O,-0.247,train
gdb_95751,CC1(O)CCCC(O)C1,-0.2541,train
gdb_31006,Cc1oc(O)nc1CO,-0.2144,train
gdb_10660,COC1(C=O)CC1O,-0.2456,train
gdb_2273,C#CCC1COC1,-0.2477,train
gdb_84363,CC1(C)C=CC(O)C1O,-0.2525,train
gdb_98188,CCC(C)(C)C(=O)CO,-0.2363,train
gdb_69068,CC12CC1(C#N)OC=N2,-0.2738,train
gdb_131097,C#CC(O)c1cn[nH]c1,-0.2446,train
gdb_107785,CC1C2C3CC1(CO)N32,-0.2399,train
gdb_6512,C#CC1(C)OC1(C)C,-0.2554,train
gdb_69056,CC12CCC1(CC=O)N2,-0.2238,train
gdb_47859,O=C1NCCCN=CO1,-0.2612,train
gdb_99982,C#CC(C)C(C)(C)CC,-0.2578,train
gdb_21037,Cc1nn(C)c(=O)o1,-0.2342,train
gdb_71993,CC12CC3OC1(C)C32O,-0.2175,train
gdb_27799,Cc1cc(O)nc(=O)o1,-0.2562,train
gdb_74529,CC1=CC23COC2(C1)C3,-0.2198,train
gdb_45943,O=C1CCC(=O)C12CN2,-0.243,train
gdb_41016,C1OC23C1CN1C2CC13,-0.2358,train
gdb_85630,CC1C=C(C#N)CC1C,-0.2586,train
gdb_7162,CCCC(C)CC#N,-0.3119,train
gdb_129807,Nc1onc2c1OCO2,-0.2079,train
gdb_113314,C#CC1(OC)CC1CC,-0.2384,train
gdb_49587,O=CC1C2CC2N1C=O,-0.2394,train
gdb_87386,CN1CC(=O)C12CC2O,-0.214,train
gdb_46362,O=C1COC1C1CCC1,-0.252,train
gdb_73544,CC12OCOC13CC2C3,-0.2445,train
gdb_80233,CN1C2CC(=O)C1C2=O,-0.2419,train
gdb_54958,C#CC1(C)NC1C(N)=O,-0.2411,train
gdb_32658,CCn1cccc1NC,-0.1693,train
gdb_127768,Cn1nnc2cc[nH]c21,-0.2099,train
gdb_79020,OC1C2C3C4CN2C1C43,-0.2351,train
gdb_41391,C1N=C2OCC23OCC13,-0.2437,train
gdb_76432,CC1N(C)C1(C)CC#N,-0.2302,train
gdb_42936,C#CCC1C(=O)C2OC12,-0.2454,train
gdb_104764,CCC1(CC)CN1C=O,-0.2463,train
gdb_14262,C1=CC2CC(C=C1)C2,-0.2065,train
gdb_117243,COCC(=O)C1CN1C,-0.2285,train
gdb_98850,COC(=O)C1CCC1C,-0.2637,train
gdb_116459,COC1CCCCC1C,-0.2459,train
gdb_110241,COC1C2C(=O)NC12C,-0.2433,train
gdb_33785,C#CC12CCCC(C1)O2,-0.2408,train
gdb_34071,N#CC12CC3C(C1)C3C2,-0.2855,train
gdb_40168,C1OC2(CC2)C2CC1C2,-0.2281,train
gdb_105858,COC12C(=O)OC1C2N,-0.2385,train
gdb_115161,CCC1NCC(=O)C1O,-0.2324,train
gdb_123555,c1noc2c1C1CC1C2,-0.2324,train
gdb_125752,C#CCc1nc(C)no1,-0.2762,train
gdb_64016,CC1(O)C=CCC1(C)C,-0.2422,train
gdb_49869,N=C1CC(C=O)C(=O)O1,-0.2805,train
gdb_78090,C#CC1CC2(C)C(C)N12,-0.2291,train
gdb_49715,N=C1C2NCC2N1C=O,-0.2407,train
gdb_50983,C#CCC1(OC=N)CC1,-0.2586,train
gdb_70539,CC12CC(=O)CCC1C2,-0.2349,train
gdb_120210,CCOC1C2C=CC1C2,-0.2236,train
gdb_71056,CC12NC3=NCC1(N)C32,-0.22,train
gdb_89214,O=C1NC2C(O)CC12O,-0.2396,train
gdb_132679,Oc1cnc(O)c(F)c1,-0.2163,train
gdb_113237,C#CCC1(C)OC1CO,-0.2613,train
gdb_54435,CC(=O)C12CC(=O)C1O2,-0.2584,train
gdb_110073,COC1C(C=O)C1(C)O,-0.2403,train
gdb_64641,N#CC1(N)C=CNC1=O,-0.2458,train
gdb_94069,CC1COC(C#N)OC1,-0.2838,train
gdb_28763,Cc1cnc2n1C1CC21,-0.2089,train
gdb_5121,Cn1ccc(N)c1O,-0.1728,train
gdb_15018,C#CC(C#C)C1CN1,-0.2477,train
gdb_53009,CC#CC12CC1CCO2,-0.2157,train
gdb_1979,COC1CN(C)C1,-0.2074,train
gdb_97664,CCC#CC1(O)CC1O,-0.2276,train
gdb_101316,O=CC1OC1C(O)CO,-0.2591,train
